,0
0,2.43769512195122
1,2.4137000000000004
2,2.427290243902439
3,2.4289804878048775
4,2.424626829268293
5,2.4124731707317073
6,2.4283951219512194
7,2.419370731707317
8,2.4091195121951223
9,2.442851219512195
10,2.4558609756097565
11,2.436387804878049
12,2.402790243902439
13,2.3915121951219516
14,2.418785365853658
